日期,全部A股成交额_亿元,通信设备成交额_亿元,通信设备换手率,计算机设备成交额_亿元,计算机设备换手率,电子元器件成交额_亿元,电子元器件换手率,半导体成交额_亿元,半导体换手率,通信设备成交额占比,四大科技行业成交额合计_亿元,四大科技行业成交额占比
2026-07-09,28945.59892941,,,,,,,,,,,
2026-07-10,33636.45803972,,,,,,,,,,,
2026-07-13,28004.81618921,,,,,,,,,,,
2026-07-14,26884.59269071,,,,,,,,,,,
2026-07-15,25559.86558502,,,,,,,,,,,
2026-07-16,23896.54682867,,,,,,,,,,,
2026-07-17,26389.93436731,,,,,,,,,,,
2026-07-20,26870.21497171,,,,,,,,,,,
2026-07-21,29404.89186513,,,,,,,,,,,
2026-07-22,26413.41672741,,,,,,,,,,,
2026-07-23,21837.38261427,,,,,,,,,,,
2026-07-24,19193.67546896,,,,,,,,,,,
2026-07-27,19245.83897512,,,,,,,,,,,
2026-07-28,20140.08226597,,,,,,,,,,,
2026-07-29,22840.03798691,,,,,,,,,,,
2026-07-30,23289.17567199,,,,,,,,,,,
2026-07-31,25294.57233873,,,,,,,,,,,
