entry_signal_date,entry_date,exit_signal_date,exit_date,holding_calendar_days,starting_equity,ending_equity,entry_notional,exit_notional,entry_commission,exit_commission,stamp_duty,cash_dividends,bonus_shares,pnl,return,entry_prices,exit_prices,entry_shares,exit_shares
2020-05-22,2020-05-25,2020-06-01,2020-06-02,8,950922.9203999997,961823.3378999998,950259.0,962696.0,285.0777,288.80879999999996,962.696,0.0,0.0,10900.417500000098,0.011462987447410465,"{""sh.601988"": 3.43, ""sh.601398"": 5.06, ""sh.601939"": 6.32, ""sh.601288"": 3.38}","{""sh.601988"": 3.47, ""sh.601398"": 5.15, ""sh.601939"": 6.39, ""sh.601288"": 3.42}","{""sh.601988"": 69300.0, ""sh.601398"": 46900.0, ""sh.601939"": 37600.0, ""sh.601288"": 70300.0}","{""sh.601988"": 69300.0, ""sh.601398"": 46900.0, ""sh.601939"": 37600.0, ""sh.601288"": 70300.0}"
2020-06-15,2020-06-16,2020-06-16,2020-06-17,1,961823.3378999998,960360.5731999999,961042.0,961117.0,288.3125999999999,288.33509999999995,961.117,0.0,0.0,-1462.7646999999415,-0.0015208247111092913,"{""sh.601988"": 3.46, ""sh.601398"": 5.27, ""sh.601939"": 6.31, ""sh.601288"": 3.35}","{""sh.601988"": 3.46, ""sh.601398"": 5.28, ""sh.601939"": 6.3, ""sh.601288"": 3.35}","{""sh.601988"": 69400.0, ""sh.601398"": 45600.0, ""sh.601939"": 38100.0, ""sh.601288"": 71700.0}","{""sh.601988"": 69400.0, ""sh.601398"": 45600.0, ""sh.601939"": 38100.0, ""sh.601288"": 71700.0}"
2020-07-24,2020-07-27,2020-08-03,2020-08-04,8,960360.5731999999,958635.1817999997,959774.0,959584.0,287.93219999999997,287.87519999999995,959.584,0.0,0.0,-1725.3914000001969,-0.001796607907643534,"{""sh.601988"": 3.36, ""sh.601398"": 4.98, ""sh.601939"": 6.14, ""sh.601288"": 3.24}","{""sh.601988"": 3.35, ""sh.601398"": 4.99, ""sh.601939"": 6.16, ""sh.601288"": 3.23}","{""sh.601988"": 71400.0, ""sh.601398"": 48200.0, ""sh.601939"": 39100.0, ""sh.601288"": 74000.0}","{""sh.601988"": 71400.0, ""sh.601398"": 48200.0, ""sh.601939"": 39100.0, ""sh.601288"": 74000.0}"
2020-08-26,2020-08-27,2020-08-28,2020-08-31,4,958635.1817999997,960247.6256999996,957789.0,960938.0,287.33669999999995,288.28139999999996,960.9380000000001,0.0,0.0,1612.4438999999547,0.0016820203666762141,"{""sh.601988"": 3.29, ""sh.601398"": 4.98, ""sh.601939"": 6.17, ""sh.601288"": 3.23}","{""sh.601988"": 3.3, ""sh.601398"": 4.99, ""sh.601939"": 6.22, ""sh.601288"": 3.23}","{""sh.601988"": 72800.0, ""sh.601398"": 48100.0, ""sh.601939"": 38800.0, ""sh.601288"": 74100.0}","{""sh.601988"": 72800.0, ""sh.601398"": 48100.0, ""sh.601939"": 38800.0, ""sh.601288"": 74100.0}"
2020-09-04,2020-09-07,2020-09-18,2020-09-21,14,960247.6256999996,973769.3836999997,959152.0,974228.0,287.74559999999997,292.26839999999993,974.228,0.0,0.0,13521.75800000003,0.01408153234447517,"{""sh.601988"": 3.2, ""sh.601398"": 4.89, ""sh.601939"": 6.11, ""sh.601288"": 3.15}","{""sh.601988"": 3.23, ""sh.601398"": 4.97, ""sh.601939"": 6.24, ""sh.601288"": 3.2}","{""sh.601988"": 75000.0, ""sh.601398"": 49000.0, ""sh.601939"": 39200.0, ""sh.601288"": 76200.0}","{""sh.601988"": 75000.0, ""sh.601398"": 49000.0, ""sh.601939"": 39200.0, ""sh.601288"": 76200.0}"
2020-09-21,2020-09-22,2020-10-09,2020-10-12,20,973769.3836999997,967260.6367999996,972621.0,967662.0,291.7863,290.29859999999996,967.662,0.0,0.0,-6508.746900000027,-0.006684074287968425,"{""sh.601988"": 3.22, ""sh.601398"": 4.95, ""sh.601939"": 6.18, ""sh.601288"": 3.18}","{""sh.601988"": 3.21, ""sh.601398"": 4.92, ""sh.601939"": 6.13, ""sh.601288"": 3.17}","{""sh.601988"": 75600.0, ""sh.601398"": 49100.0, ""sh.601939"": 39300.0, ""sh.601288"": 76500.0}","{""sh.601988"": 75600.0, ""sh.601398"": 49100.0, ""sh.601939"": 39300.0, ""sh.601288"": 76500.0}"
2020-10-23,2020-10-26,2020-11-05,2020-11-06,11,967260.6367999996,950780.8772999996,966374.0,951421.0,289.9122,285.42629999999997,951.4209999999999,0.0,0.0,-16479.759500000044,-0.017037558309537165,"{""sh.601988"": 3.24, ""sh.601398"": 5.06, ""sh.601939"": 6.48, ""sh.601288"": 3.23}","{""sh.601988"": 3.21, ""sh.601398"": 4.95, ""sh.601939"": 6.36, ""sh.601288"": 3.19}","{""sh.601988"": 74600.0, ""sh.601398"": 47700.0, ""sh.601939"": 37300.0, ""sh.601288"": 74800.0}","{""sh.601988"": 74600.0, ""sh.601398"": 47700.0, ""sh.601939"": 37300.0, ""sh.601288"": 74800.0}"
2020-12-09,2020-12-10,2020-12-17,2020-12-18,8,950780.8772999996,929578.1933999996,949566.0,929857.0,284.8698,278.95709999999997,929.8570000000001,0.0,0.0,-21202.683899999945,-0.022300284330718474,"{""sh.601988"": 3.23, ""sh.601398"": 5.1, ""sh.601939"": 6.66, ""sh.601288"": 3.23}","{""sh.601988"": 3.19, ""sh.601398"": 5.01, ""sh.601939"": 6.41, ""sh.601288"": 3.18}","{""sh.601988"": 73500.0, ""sh.601398"": 46600.0, ""sh.601939"": 35600.0, ""sh.601288"": 73500.0}","{""sh.601988"": 73500.0, ""sh.601398"": 46600.0, ""sh.601939"": 35600.0, ""sh.601288"": 73500.0}"
2020-12-18,2020-12-21,2020-12-21,2020-12-22,1,929578.1933999996,924260.1270999997,928784.0,924947.0,278.6352,277.4841,924.947,0.0,0.0,-5318.066299999948,-0.005720945626476816,"{""sh.601988"": 3.18, ""sh.601398"": 5.01, ""sh.601939"": 6.4, ""sh.601288"": 3.17}","{""sh.601988"": 3.18, ""sh.601398"": 4.99, ""sh.601939"": 6.34, ""sh.601288"": 3.16}","{""sh.601988"": 73000.0, ""sh.601398"": 46300.0, ""sh.601939"": 36300.0, ""sh.601288"": 73300.0}","{""sh.601988"": 73000.0, ""sh.601398"": 46300.0, ""sh.601939"": 36300.0, ""sh.601288"": 73300.0}"
2020-12-22,2020-12-23,2020-12-25,2020-12-28,5,924260.1270999997,924836.4446999995,923131.0,925187.0,276.9393,277.5561,925.187,0.0,0.0,576.3175999998348,0.0006235448042188241,"{""sh.601988"": 3.17, ""sh.601398"": 4.94, ""sh.601939"": 6.22, ""sh.601288"": 3.15}","{""sh.601988"": 3.17, ""sh.601398"": 4.96, ""sh.601939"": 6.27, ""sh.601288"": 3.14}","{""sh.601988"": 72800.0, ""sh.601398"": 46700.0, ""sh.601939"": 37100.0, ""sh.601288"": 73300.0}","{""sh.601988"": 72800.0, ""sh.601398"": 46700.0, ""sh.601939"": 37100.0, ""sh.601288"": 73300.0}"
